id,class,start_frame,end_frame,start_xy,end_xy,turn
721,car,220,256,"(195, 12)","(206, 9)",straight
44,car,1,258,"(41, 398)","(26, 420)",straight
798,truck,252,259,"(512, 249)","(508, 211)",straight
804,car,253,262,"(622, 209)","(620, 211)",straight
776,car,239,268,"(523, 152)","(522, 156)",straight
615,motorcycle,176,275,"(739, 303)","(742, 342)",straight
775,motorcycle,239,277,"(669, 332)","(720, 356)",straight
826,person,258,285,"(539, 142)","(540, 146)",straight
858,car,275,285,"(379, 181)","(378, 183)",straight
358,motorcycle,90,295,"(710, 349)","(750, 375)",straight
879,truck,293,298,"(402, 255)","(404, 267)",straight
828,person,259,300,"(688, 346)","(757, 381)",straight
861,truck,277,300,"(131, 52)","(146, 42)",straight
215,person,49,302,"(612, 123)","(615, 125)",straight
6,car,1,305,"(717, 404)","(741, 421)",straight
896,truck,308,312,"(224, 196)","(224, 197)",straight
360,car,90,315,"(379, 118)","(380, 122)",straight
894,car,307,325,"(5, 235)","(18, 216)",straight
965,car,331,331,"(546, 315)","(546, 315)",unknown
5,car,1,332,"(166, 400)","(154, 422)",straight
